"No.","Time","Source","Destination","Protocol","Length","Info"
"1","1677862077.934251000","20.198.119.84:443","192.168.100.23:11895","TCP","66","Layer FRAME:
	Interface id: 0 (\Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4})
	Interface name: \Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4}
	Interface description: Wi-Fi
	Encapsulation type: Ethernet (1)
	Arrival Time: Mar  3, 2023 23:47:57.934251000 SE Asia Standard Time
	Time shift for this packet: 0.000000000 seconds
	Epoch Time: 1677862077.934251000 seconds
	Time delta from previous captured frame: 0.000000000 seconds
	Time delta from previous displayed frame: 0.000000000 seconds
	Time since reference or first frame: 0.000000000 seconds
	Frame Number: 1
	Frame Length: 66 bytes (528 bits)
	Capture Length: 66 bytes (528 bits)
	Frame is marked: False
	Frame is ignored: False
	Protocols in frame: eth:ethertype:ip:tcp
"
"2","1677862077.934294000","192.168.100.23:11895","20.198.119.84:443","TCP","54","Layer FRAME:
	Interface id: 0 (\Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4})
	Interface name: \Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4}
	Interface description: Wi-Fi
	Encapsulation type: Ethernet (1)
	Arrival Time: Mar  3, 2023 23:47:57.934294000 SE Asia Standard Time
	Time shift for this packet: 0.000000000 seconds
	Epoch Time: 1677862077.934294000 seconds
	Time delta from previous captured frame: 0.000043000 seconds
	Time delta from previous displayed frame: 0.000043000 seconds
	Time since reference or first frame: 0.000043000 seconds
	Frame Number: 2
	Frame Length: 54 bytes (432 bits)
	Capture Length: 54 bytes (432 bits)
	Frame is marked: False
	Frame is ignored: False
	Protocols in frame: eth:ethertype:ip:tcp
"
"3","1677862082.217647000","192.168.100.23:62518","118.98.44.100:53","UDP","80","Layer FRAME:
	Interface id: 0 (\Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4})
	Interface name: \Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4}
	Interface description: Wi-Fi
	Encapsulation type: Ethernet (1)
	Arrival Time: Mar  3, 2023 23:48:02.217647000 SE Asia Standard Time
	Time shift for this packet: 0.000000000 seconds
	Epoch Time: 1677862082.217647000 seconds
	Time delta from previous captured frame: 0.637587000 seconds
	Time delta from previous displayed frame: 0.637587000 seconds
	Time since reference or first frame: 4.283396000 seconds
	Frame Number: 5
	Frame Length: 80 bytes (640 bits)
	Capture Length: 80 bytes (640 bits)
	Frame is marked: False
	Frame is ignored: False
	Protocols in frame: eth:ethertype:ip:udp:dns
"
"4","1677862082.217647000","192.168.100.23:62305","118.98.44.100:53","UDP","80","Layer FRAME:
	Interface id: 0 (\Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4})
	Interface name: \Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4}
	Interface description: Wi-Fi
	Encapsulation type: Ethernet (1)
	Arrival Time: Mar  3, 2023 23:48:02.217647000 SE Asia Standard Time
	Time shift for this packet: 0.000000000 seconds
	Epoch Time: 1677862082.217647000 seconds
	Time delta from previous captured frame: 0.000000000 seconds
	Time delta from previous displayed frame: 0.000000000 seconds
	Time since reference or first frame: 4.283396000 seconds
	Frame Number: 6
	Frame Length: 80 bytes (640 bits)
	Capture Length: 80 bytes (640 bits)
	Frame is marked: False
	Frame is ignored: False
	Protocols in frame: eth:ethertype:ip:udp:dns
"
"5","1677862082.858902000","118.98.44.100:53","192.168.100.23:62305","UDP","328","Layer FRAME:
	Interface id: 0 (\Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4})
	Interface name: \Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4}
	Interface description: Wi-Fi
	Encapsulation type: Ethernet (1)
	Arrival Time: Mar  3, 2023 23:48:02.858902000 SE Asia Standard Time
	Time shift for this packet: 0.000000000 seconds
	Epoch Time: 1677862082.858902000 seconds
	Time delta from previous captured frame: 0.196726000 seconds
	Time delta from previous displayed frame: 0.196726000 seconds
	Time since reference or first frame: 4.924651000 seconds
	Frame Number: 9
	Frame Length: 328 bytes (2624 bits)
	Capture Length: 328 bytes (2624 bits)
	Frame is marked: False
	Frame is ignored: False
	Protocols in frame: eth:ethertype:ip:udp:dns
"
"6","1677862082.863700000","118.98.44.100:53","192.168.100.23:62518","UDP","225","Layer FRAME:
	Interface id: 0 (\Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4})
	Interface name: \Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4}
	Interface description: Wi-Fi
	Encapsulation type: Ethernet (1)
	Arrival Time: Mar  3, 2023 23:48:02.863700000 SE Asia Standard Time
	Time shift for this packet: 0.000000000 seconds
	Epoch Time: 1677862082.863700000 seconds
	Time delta from previous captured frame: 0.004798000 seconds
	Time delta from previous displayed frame: 0.004798000 seconds
	Time since reference or first frame: 4.929449000 seconds
	Frame Number: 10
	Frame Length: 225 bytes (1800 bits)
	Capture Length: 225 bytes (1800 bits)
	Frame is marked: False
	Frame is ignored: False
	Protocols in frame: eth:ethertype:ip:udp:dns
"
"7","1677862082.871162000","192.168.100.23:12070","52.21.119.163:443","TCP","66","Layer FRAME:
	Interface id: 0 (\Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4})
	Interface name: \Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4}
	Interface description: Wi-Fi
	Encapsulation type: Ethernet (1)
	Arrival Time: Mar  3, 2023 23:48:02.871162000 SE Asia Standard Time
	Time shift for this packet: 0.000000000 seconds
	Epoch Time: 1677862082.871162000 seconds
	Time delta from previous captured frame: 0.007462000 seconds
	Time delta from previous displayed frame: 0.007462000 seconds
	Time since reference or first frame: 4.936911000 seconds
	Frame Number: 11
	Frame Length: 66 bytes (528 bits)
	Capture Length: 66 bytes (528 bits)
	Frame is marked: False
	Frame is ignored: False
	Protocols in frame: eth:ethertype:ip:tcp
"
"8","1677862083.111003000","52.21.119.163:443","192.168.100.23:12070","TCP","66","Layer FRAME:
	Interface id: 0 (\Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4})
	Interface name: \Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4}
	Interface description: Wi-Fi
	Encapsulation type: Ethernet (1)
	Arrival Time: Mar  3, 2023 23:48:03.111003000 SE Asia Standard Time
	Time shift for this packet: 0.000000000 seconds
	Epoch Time: 1677862083.111003000 seconds
	Time delta from previous captured frame: 0.239841000 seconds
	Time delta from previous displayed frame: 0.239841000 seconds
	Time since reference or first frame: 5.176752000 seconds
	Frame Number: 12
	Frame Length: 66 bytes (528 bits)
	Capture Length: 66 bytes (528 bits)
	Frame is marked: False
	Frame is ignored: False
	Protocols in frame: eth:ethertype:ip:tcp
"
"9","1677862083.111213000","192.168.100.23:12070","52.21.119.163:443","TCP","54","Layer FRAME:
	Interface id: 0 (\Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4})
	Interface name: \Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4}
	Interface description: Wi-Fi
	Encapsulation type: Ethernet (1)
	Arrival Time: Mar  3, 2023 23:48:03.111213000 SE Asia Standard Time
	Time shift for this packet: 0.000000000 seconds
	Epoch Time: 1677862083.111213000 seconds
	Time delta from previous captured frame: 0.000210000 seconds
	Time delta from previous displayed frame: 0.000210000 seconds
	Time since reference or first frame: 5.176962000 seconds
	Frame Number: 13
	Frame Length: 54 bytes (432 bits)
	Capture Length: 54 bytes (432 bits)
	Frame is marked: False
	Frame is ignored: False
	Protocols in frame: eth:ethertype:ip:tcp
"
"10","1677862083.113454000","192.168.100.23:12070","52.21.119.163:443","TCP","428","Layer FRAME:
	Interface id: 0 (\Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4})
	Interface name: \Device\NPF_{395732A2-708D-4F09-8EE9-A68253CB1EC4}
	Interface description: Wi-Fi
	Encapsulation type: Ethernet (1)
	Arrival Time: Mar  3, 2023 23:48:03.113454000 SE Asia Standard Time
	Time shift for this packet: 0.000000000 seconds
	Epoch Time: 1677862083.113454000 seconds
	Time delta from previous captured frame: 0.002241000 seconds
	Time delta from previous displayed frame: 0.002241000 seconds
	Time since reference or first frame: 5.179203000 seconds
	Frame Number: 14
	Frame Length: 428 bytes (3424 bits)
	Capture Length: 428 bytes (3424 bits)
	Frame is marked: False
	Frame is ignored: False
	Protocols in frame: eth:ethertype:ip:tcp:tls
"
